Unnamed: 0,address,target_building_id,target_address
4070,"196641, Санкт-Петербург г, Школьная ул, д.5",23122,"г.Санкт-Петербург, 5-я линия В.О., дом 66, литера Б"
7573,"Санкт-Петербург (г.), Железнодорожный (пр-кт.), д.14 2 1",220011,"г.Санкт-Петербург, Железнодорожный проспект, дом 14, корпус 2, строение 1"
5815,"198325, Санкт-Петербург г, Красное Село г, Театральная (Дудергоф) ул, д.9",187924,"г.Санкт-Петербург, улица Седова, дом 83/9, литера В"
2159,"195256, Санкт-Петербург (г.), Верности (ул.), д.28, Строение 2",106481,"г.Санкт-Петербург, Комендантский проспект, дом 28, корпус 2, литера Б"
1476,"194291, Санкт-Петербург (г.), Кустодиева (ул.), д.1, Строение А",135575,"г.Санкт-Петербург, Горелово, Социалистическая улица, дом 42, литера Г1"
3146,"198096, Санкт-Петербург г, Стачек пр-кт, д.67, Строение 7",224389,"г.Санкт-Петербург, Парашютная улица, дом 79, корпус 1, строение 1"
4874,"195298, Санкт-Петербург г, Наставников пр-кт, д.9, Строение 2",206573,"г.Санкт-Петербург, Новая улица, дом 51, корпус 28, строение 1"
10323,"197374, Санкт-Петербург г, Савушкина ул, д.115, Строение 2",213396,"г.Санкт-Петербург, Кубинская улица, дом 73, корпус 2, строение 4"
281,"190121, Санкт-Петербург (г.), Санкт-Петербург г, наб Адмиралтейского канала, д.9, литера",68027,"г.Санкт-Петербург, набережная Адмиралтейского канала, дом 9, литера Г"
2085,"195221, Санкт-Петербург (г.), Металлистов (пр-кт.), д.63, Строение 2",206418,"г.Санкт-Петербург, Новая улица, дом 51, корпус 63, строение 1"
9051,"Санкт-Петербург (г.), Глухая Зеленина (ул.), д.6, Строение А",88287,"г.Санкт-Петербург, Глухая Зеленина улица, дом 6, литера А"
6210,"198328, Санкт-Петербург г, Ленинский пр-кт, д.78, Строение 3",141532,"г.Санкт-Петербург, 3-я линия 1-й половины, дом 79, литера А"
3981,"196657, Санкт-Петербург г, Колпино г, Трудящихся б-р, д.25, Строение 2",218701,"г.Санкт-Петербург, Нейшлотский переулок, дом 25, строение 6"
793,"Санкт-Петербург (г.), Александра Матросова (ул.), д.8 2",216101,"г.Санкт-Петербург, улица Александра Матросова, дом 8, корпус 2, строение 1"
3448,"198095, Санкт-Петербург г, Балтийская ул, д.4",214788,"г.Санкт-Петербург, Кубинская улица, дом 71, корпус 4"
9584,"197183, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина, д.24 А",21278,"г.Санкт-Петербург, улица Савушкина, дом 71"
2995,"195252, Санкт-Петербург (г.), Карпинского (ул), д.24,2, А",47904,"г.Санкт-Петербург, Свердловская набережная, дом 52"
5912,"198330, Санкт-Петербург г, Десантников ул, д.20, Строение 2",220049,"г.Санкт-Петербург, Суздальское шоссе, дом 30, корпус 3, строение 1"
436,"199397, Санкт-Петербург г, Наличная ул, д.40, Строение 3",86900,"г.Санкт-Петербург, Свердловская набережная, дом 40, корпус 3, литера И"
11996,"192239, Санкт-Петербург г, Славы пр-кт, д.7, Строение 3",212880,"г.Санкт-Петербург, Менделеевская улица, дом 7, корпус 3, строение 1"
3660,"198303, Санкт-Петербург г, Маршала Жукова пр-кт, д.34, Строение 2",10417,"г.Санкт-Петербург, проспект Маршала Жукова, дом 34, корпус 1, литера З"
8765,"193318, Санкт-Петербург г, Джона Рида ул, д.6",4363,"г.Санкт-Петербург, Броневая улица, дом 6, литера Г33"
5074,"195279, Санкт-Петербург г, Ударников пр-кт, д.38, Строение 3",216644,"г.Санкт-Петербург, Тургеневский переулок, дом 3"
8968,"197101, Санкт-Петербург г, Пушкарская Б. ул, д.56",135015,"г.Санкт-Петербург, Большая Пушкарская улица, дом 56, литера Г1"
10408,"197373, Санкт-Петербург г, Авиаконструкторов пр-кт, д.4, Строение 2",205503,"г.Санкт-Петербург, Гартнеровский переулок, дом 4"
7362,"196158, Санкт-Петербург (г.), Санкт-Петербург г, Дунайский проспект, д.7 5",57875,"г.Санкт-Петербург, Шуваловский проспект, дом 61"
3649,"198302, Санкт-Петербург г, Маршала Казакова ул, д.5, Строение 2",224000,"г.Санкт-Петербург, Малая Митрофаньевская улица, дом 5, корпус 3, строение 1"
1783,"194356, Санкт-Петербург (г.), Санкт-Петербург г, Есенина ул, д.18-3, А",58468,"г.Санкт-Петербург, Косая линия, дом 16, корпус 43, литера Г49"
7698,"193168, Санкт-Петербург г, Дыбенко ул, д.24, Строение 3",219326,"г.Санкт-Петербург, Студенческая улица, дом 24, корпус 3, строение 1"
8769,"192174, Санкт-Петербург г, Седова ул, д.152",89375,"г.Санкт-Петербург, Мельничная улица, дом 22, литера Г1"
4630,"195067, Санкт-Петербург г, Бестужевская ул, д.49",3741,"г.Санкт-Петербург, Бестужевская улица, дом 49, литера А"
12797,"191023, Санкт-Петербург г, Гороховая ул, д.38",7249,"г.Санкт-Петербург, Подольская улица, дом 38"
7999,"193231, Санкт-Петербург г, Латышских Стрелков ул, д.11, Строение 3",90161,"г.Санкт-Петербург, Садовая улица, дом 28-30, корпус 32, литера К32"
1091,"194355, Санкт-Петербург (г.), Санкт-Петербург г, Жени Егоровой ул, д.5-2 А",133724,"г.Санкт-Петербург, улица Матроса Железняка, дом 41а, литера Г5"
9591,"197183, Санкт-Петербург г, Черной речки наб, д.8",130077,"г.Санкт-Петербург, улица Белы Куна, дом 8"
8644,"193149, Санкт-Петербург (г.), Русановская (ул.), д.9, Строение 2",220239,"г.Санкт-Петербург, Дибуновская улица, дом 30, строение 1"
178,"190013, Санкт-Петербург г, Бронницкая ул, д.33",76622,"г.Санкт-Петербург, Бронницкая улица, дом 33, литера Б"
7565,"192076, Санкт-Петербург (г.), Славянская ул.,, д.19 1",3251,"г.Санкт-Петербург, Свердловская набережная, дом 20, литера Г1"
5128,"195298, Санкт-Петербург г, Косыгина пр-кт, д.30, Строение 4",79056,"г.Санкт-Петербург, проспект Косыгина, дом 30, корпус 3, литера А"
12848,"191015, Санкт-Петербург г, Советская 9-я ул, д.4-6",30681,"г.Санкт-Петербург, 9-я Советская улица, дом 4-6, литера Б"
11575,"188289, Ленинградская обл, Луга г, Детский городок Лесное, д.1",111635,"город Кронштадт, Ленинградская улица, дом 1, литера Е"
973,"194223, Санкт-Петербург (г.), Санкт-Петербург г, 2-й муринский пр-т, д.3 А",23107,"г.Санкт-Петербург, Грузинская улица, дом 3, корпус 1, литера Г2"
8890,"197022, Санкт-Петербург (г.), Санкт-Петербург г, Академика Павлова ул, д.д.8 к2",126546,"г.Санкт-Петербург, Торики, садоводство ""АТП-71"", Зелёная улица, дом 8, литера А"
7045,"196233, Санкт-Петербург (г.), Санкт-Петербург г, Космонавтов пр-кт, д.37 А",126163,"г.Санкт-Петербург, проспект Непокоренных, дом 63, корпус 33"
7501,"196240, Санкт-Петербург (г.), Санкт-Петербург г, 5-й Предпортовый проезд, д.6",189267,"г.Санкт-Петербург, Торики, садоводство ""Дружный-1"", 6-я линия, дом 5, литера А"
8995,"197022, Санкт-Петербург г, Грота ул, д.2",210380,"г.Санкт-Петербург, проспект Королёва, дом 71, корпус 2"
11912,"192283, Санкт-Петербург г, Загребский б-р, д.41",11412,"г.Санкт-Петербург, Гражданский проспект, дом 41, литера Б"
6325,"198206, Санкт-Петербург г, Ветеранов пр-кт, д.173, Строение 5, стр.1",217007,"г.Санкт-Петербург, проспект Ветеранов, дом 173, корпус 3, строение 1"
9587,"197183, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина, д.18 А",21278,"г.Санкт-Петербург, улица Савушкина, дом 71"
7628,"193168, Санкт-Петербург г, Антонова-Овсеенко ул, д.15",62967,"г.Санкт-Петербург, 15-я линия В.О., дом 30, литера Д"
2281,"195220, Санкт-Петербург (г.), Гражданский (пр-кт.), д.27, Строение 3",76241,"г.Санкт-Петербург, Гражданский проспект, дом 26, корпус 3, литера А"
931,"194362, Санкт-Петербург (г.), Санкт-Петербург г, Фёдора Абрамова ул, д.16-2 А",99241,"г.Санкт-Петербург, Большая Монетная улица, дом 16, корпус 12,40, литера Г"
2938,"195197, Санкт-Петербург (г.), Полюстровский (пр-кт.), д.65 А",206439,"г.Санкт-Петербург, Новая улица, дом 51, корпус 65"
10334,"197374, Санкт-Петербург г, Яхтенная ул, д.9, Строение 4,литер А",60745,"г.Санкт-Петербург, 4-й Верхний переулок, дом 9, литера А"
2932,"195267, Санкт-Петербург (г.), Ушинского (ул.), д.39, Строение 2",220199,"г.Санкт-Петербург, улица Розенштейна, дом 39, корпус 3, строение 2"
615,"199004, Санкт-Петербург г, Малый В.О. пр-кт, д.6",189270,"г.Санкт-Петербург, Торики, садоводство ""Дружный-1"", 6-я линия, дом 9, литера А"
1847,"194358, Санкт-Петербург (г.), Санкт-Петербург г, Энгельса пр-кт, д.143 2, А",100221,"г.Санкт-Петербург, 1-я Жерновская улица, дом 43"
8991,"197110, Санкт-Петербург г, Левашовский пр-кт, д.16",7227,"г.Санкт-Петербург, Гороховая улица, дом 16/71, литера Б"
522,"199397, Санкт-Петербург г, Кораблестроителей ул, д.35, Строение 3",67770,"г.Санкт-Петербург, улица Кораблестроителей, дом 35, корпус 3, литера А"
9274,"198412, Санкт-Петербург г, Ломоносов г, Федюнинского ул, д.16, Строение 3",165504,"г.Санкт-Петербург, Петергофское шоссе, дом 84, корпус 12, литера А"
4083,"196641, Санкт-Петербург г, Плановая ул, д.8",6006,"г.Санкт-Петербург, 8-я линия В.О., дом 67, литера Б"
6147,"198332, Санкт-Петербург г, Ленинский пр-кт, д.82, Строение 4",215821,"г.Санкт-Петербург, Средний проспект В.О., дом 83, строение 4"
11758,"192281, Санкт-Петербург г, Будапештская ул, д.98, Строение 4",210841,"г.Санкт-Петербург, Суздальское шоссе, дом 22, корпус 4, строение 1"
12862,"191002, Санкт-Петербург, Ломоносова ул, д.18",3148,"г.Санкт-Петербург, 11-я линия В.О., дом 18, литера В"
3775,"198207, Санкт-Петербург г, Зины Портновой ул, д.17, Строение 2",19108,"г.Санкт-Петербург, Новоизмайловский проспект, дом 83, литера А"
7975,"193231, Санкт-Петербург г, Латышских Стрелков ул, д.7, Строение 2",24583,"г.Санкт-Петербург, улица Латышских Стрелков, дом 31"
7213,"196066, Санкт-Петербург г, Алтайская ул, д.2",60872,"г.Санкт-Петербург, 2-я Никитинская улица, дом 60, литера А"
335,"199178, Санкт-Петербург г, 12-я В.О. линия, д.21",56407,"г.Санкт-Петербург, 12-я линия В.О., дом 21"
7182,"196070, Санкт-Петербург г, Варшавская ул, д.52",206461,"г.Санкт-Петербург, Новая улица, дом 51, корпус 60, строение 1"
10109,"197373, Санкт-Петербург г, Авиаконструкторов пр-кт, д.17, Строение 2",45305,"г.Санкт-Петербург, Северный проспект, дом 73, корпус 2, литера А"
9313,"198510, Санкт-Петербург г, Петергоф г, Озерковая ул, д.19, Строение 1",25569,"г.Санкт-Петербург, Новоизмайловский проспект, дом 85, литера А"
9074,"197022, Санкт-Петербург г, Литераторов ул, д.9/11",189527,"г.Санкт-Петербург, Торики, садоводство ""АТП-71"", дом 10, литера А"
23,"196084, Санкт-Петербург (г.), Санкт-Петербург г, Московский проспект, д.73 к 5",84843,"г.Санкт-Петербург, Кондратьевский проспект, дом 62, корпус 5, литера А"
1103,"194356, Санкт-Петербург (г.), Санкт-Петербург г, Асафьева ул, д.12 2,А",198317,"г.Санкт-Петербург, Горелово, Парковая улица, дом 43, литера Б"
3735,"198152, Санкт-Петербург г, Краснопутиловская ул, д.41",206533,"г.Санкт-Петербург, Новая улица, дом 51, корпус 41, строение 1"
4297,"196641, Санкт-Петербург г, Богайчука ул, д.18",68947,"г.Санкт-Петербург, Большая Озёрная улица, дом 66, литера А"
12384,"192281, Санкт-Петербург г, Будапештская ул, д.79, Строение 3",124849,"г.Санкт-Петербург, Бестужевская улица, дом 79, корпус 3, литера А"
4388,"196650, Санкт-Петербург (г.), Колпино (г.), Пролетарская (ул.), д.135, Строение А",31484,"г.Санкт-Петербург, Каменноостровский проспект, дом 66, литера А"
1002,"194017, Санкт-Петербург (г.), Санкт-Петербург г, Мориса Тореза пр-т, д.71-3 А",85372,"г.Санкт-Петербург, набережная реки Фонтанки, дом 40/68"
4454,"196642, Санкт-Петербург г, Коммунаров ул, д.2, Лит. Б",34354,"г.Санкт-Петербург, набережная реки Пряжки, дом 66, корпус 2, литера Б"
7162,"196158, Санкт-Петербург г, Ленсовета ул, д.82",65217,"г.Санкт-Петербург, Народная улица, дом 82, литера Д"
6986,"196211, Санкт-Петербург (г.), Санкт-Петербург г, Бассейная ул, д.71/2",189582,"г.Санкт-Петербург, Торики, садоводство ""АТП-71"", дом 63, литера А"
11049,"196605, Санкт-Петербург г, Пушкин г, Генерала Хазова ул, д.16",23860,"г.Санкт-Петербург, Большая Монетная улица, дом 16, корпус 1, литера Х"
955,"194354, Санкт-Петербург (г.), Санкт-Петербург г, Северный пр-кт, д.12-2 А",212910,"муниципальный округ Горелово, тер. СНТ ""Дружный-2"", Северная аллея, дом 43, строение 1"
8169,"193230, Санкт-Петербург г, Крыленко ул, д.21, Строение 3",973,"г.Санкт-Петербург, 3-я линия 1-й половины, дом 33"
11268,"196657, Санкт-Петербург г, Волховская (Новая Ижора) ул, д.1",221303,"г.Санкт-Петербург, Кирочная улица, дом 67, строение 1"
143,"191180, Санкт-Петербург (г.), Санкт-Петербург г, Реки Фонтанки наб, д.94",60236,"г.Санкт-Петербург, набережная реки Фонтанки, дом 94, литера Б"
6864,"196070, Санкт-Петербург г, Бассейная ул, д.47",54602,"г.Санкт-Петербург, Малая Бухарестская улица, дом 11/60, литера Б"
8112,"192177, Санкт-Петербург г, Караваевская ул, д.40, Строение 2",85019,"г.Санкт-Петербург, Свердловская набережная, дом 40, литера А"
12426,"192281, Санкт-Петербург г, Дунайский пр-кт, д.37, Строение 1",219617,"г.Санкт-Петербург, Капсюльное шоссе, дом 37, строение 1"
9997,"197371, Санкт-Петербург г, Комендантский пр-кт, д.31, Строение 4",74654,"г.Санкт-Петербург, Комендантский проспект, дом 31, корпус 4, литера А"
250,"190068, Санкт-Петербург (г.), Санкт-Петербург г, Лабутина, д.8",1495,"г.Санкт-Петербург, улица Лабутина, дом 8, литера А"
11070,"196605, Санкт-Петербург г, Пушкин г, Петербургское ш, д.5, Строение а",221747,"г.Санкт-Петербург, Заневский проспект, дом 67, корпус 5, строение 1"
1807,"194358, Санкт-Петербург (г.), Санкт-Петербург г, Валерия Гаврилина, д.5-2",133724,"г.Санкт-Петербург, улица Матроса Железняка, дом 41а, литера Г5"
2073,"194064, Санкт-Петербург (г.), Науки (пр-кт.), д.11, Строение 3",134352,"г.Санкт-Петербург, Новоизмайловский проспект, дом 40, литера Г1"
8932,"197198, Санкт-Петербург (г.), Лизы Чайкиной (ул.), д.14, Строение А",189532,"г.Санкт-Петербург, Торики, садоводство ""АТП-71"", дом 14, литера А"
6941,"196247, Санкт-Петербург г, Новоизмайловский пр-кт, д.61",108310,"г.Санкт-Петербург, Малоохтинский проспект, дом 61"
1931,"195221, Санкт-Петербург (г.), Антоновская (ул.), д.3, Строение А",224363,"г.Санкт-Петербург, Новоорловская улица, дом 1, строение 3"
3333,"198262, Санкт-Петербург г, Лени Голикова ул, д.24, Строение 2",40773,"г.Санкт-Петербург, улица Лёни Голикова, дом 24, литера В"
8574,"193315, Санкт-Петербург г, Дальневосточный пр-кт, д.66, Строение 2",221358,"г.Санкт-Петербург, Дальневосточный проспект, дом 33, корпус 2, строение 1"
894,"194064, Санкт-Петербург (г.), Новолитовская (ул.), д.14а, Строение А",49626,"г.Санкт-Петербург, Колпинская улица, дом 14/41"
9094,"197101, Санкт-Петербург г, Сытнинская пл, д.5/7",30552,"г.Санкт-Петербург, Двинская улица, дом 5/7"
10809,"196626, Санкт-Петербург (г.), Шушары (п.), Новгородский (пр-кт.), д.9 1",210821,"г.Санкт-Петербург, Комендантский проспект, дом 67, строение 1"
12189,"192236, Санкт-Петербург г, Софийская ул, д.32, Строение 4",220056,"г.Санкт-Петербург, Пулковское шоссе, дом 32, корпус 4, строение 1"
