Unnamed: 0,address,target_building_id,target_address
4070,"196641, Санкт-Петербург г, Школьная ул, д.5",68105,"г.Санкт-Петербург, Школьная улица, дом 9"
7573,"Санкт-Петербург (г.), Железнодорожный (пр-кт.), д.14 2 1",188144,"г.Санкт-Петербург, Стартовая улица, дом 17, литера КТ"
5815,"198325, Санкт-Петербург г, Красное Село г, Театральная (Дудергоф) ул, д.9",202660,"город Красное Село, Дудергоф, Театральная улица"
2159,"195256, Санкт-Петербург (г.), Верности (ул.), д.28, Строение 2",103548,"г.Санкт-Петербург, улица Верности, дом 28, корпус 4"
1476,"194291, Санкт-Петербург (г.), Кустодиева (ул.), д.1, Строение А",219542,"г.Санкт-Петербург, улица Кустодиева, дом 7, корпус 2, строение 1"
3146,"198096, Санкт-Петербург г, Стачек пр-кт, д.67, Строение 7",188144,"г.Санкт-Петербург, Стартовая улица, дом 17, литера КТ"
4874,"195298, Санкт-Петербург г, Наставников пр-кт, д.9, Строение 2",199422,"г.Санкт-Петербург, участок ж.д. ""пр.Косыгина - пр.Наставников"", литера И"
10323,"197374, Санкт-Петербург г, Савушкина ул, д.115, Строение 2",886,"г.Санкт-Петербург, улица Савушкина, дом 115, корпус 1, литера А"
281,"190121, Санкт-Петербург (г.), Санкт-Петербург г, наб Адмиралтейского канала, д.9, литера",15097,"г.Санкт-Петербург, набережная Адмиралтейского канала, дом 7, литера А"
2085,"195221, Санкт-Петербург (г.), Металлистов (пр-кт.), д.63, Строение 2",16099,"г.Санкт-Петербург, проспект Металлистов, дом 63, литера А"
9051,"Санкт-Петербург (г.), Глухая Зеленина (ул.), д.6, Строение А",15084,"г.Санкт-Петербург, Глухая Зеленина улица, дом 4"
6210,"198328, Санкт-Петербург г, Ленинский пр-кт, д.78, Строение 3",44628,"г.Санкт-Петербург, Ленинский проспект, дом 78, корпус 1"
3981,"196657, Санкт-Петербург г, Колпино г, Трудящихся б-р, д.25, Строение 2",14926,"город Колпино, бульвар Трудящихся, дом 25, литера А"
793,"Санкт-Петербург (г.), Александра Матросова (ул.), д.8 2",221302,"г.Санкт-Петербург, улица Александра Матросова"
3448,"198095, Санкт-Петербург г, Балтийская ул, д.4",204165,"г.Санкт-Петербург, Балтийская улица"
9584,"197183, Санкт-Петербург (г.), Санкт-Петербург г, Савушкина, д.24 А",111743,"г.Санкт-Петербург, улица Савушкина, дом 24, литера А"
2995,"195252, Санкт-Петербург (г.), Карпинского (ул), д.24,2, А",37918,"г.Санкт-Петербург, улица Карпинского, дом 24, литера И"
5912,"198330, Санкт-Петербург г, Десантников ул, д.20, Строение 2",28587,"г.Санкт-Петербург, улица Десантников, дом 20, корпус 3, литера А"
436,"199397, Санкт-Петербург г, Наличная ул, д.40, Строение 3",7439,"г.Санкт-Петербург, Наличная улица, дом 40, корпус 2"
11996,"192239, Санкт-Петербург г, Славы пр-кт, д.7, Строение 3",188144,"г.Санкт-Петербург, Стартовая улица, дом 17, литера КТ"
3660,"198303, Санкт-Петербург г, Маршала Жукова пр-кт, д.34, Строение 2",201039,"г.Санкт-Петербург, участок ж.д. ""пр.Стачек - пр.Маршала Жукова"", литера В"
8765,"193318, Санкт-Петербург г, Джона Рида ул, д.6",10394,"г.Санкт-Петербург, улица Джона Рида, дом 9, литера А"
5074,"195279, Санкт-Петербург г, Ударников пр-кт, д.38, Строение 3",6485,"г.Санкт-Петербург, проспект Ударников, дом 38, корпус 3, литера А"
8968,"197101, Санкт-Петербург г, Пушкарская Б. ул, д.56",102150,"г.Санкт-Петербург, Большая Пушкарская улица, дом 56, литера А"
